county,percentage w internet,matched edu,matched population,matched temp,matched humidity,matched emissions
"Autauga County, Alabama",74.1,18.2,58805,55.5,68,79
"Baldwin County, Alabama",77.7,21.4,231767,60.5,68,79
"Barbour County, Alabama",52.5,8.2,25223,57.4,68,79
"Bibb County, Alabama",56.2,8.1,22293,54.1,68,79
"Blount County, Alabama",66.9,8.9,59134,52.2,68,79
"Bullock County, Alabama",55.2,6.7,10357,56.5,68,79
"Butler County, Alabama",64.3,11.6,19051,56.9,68,79
"Calhoun County, Alabama",68.7,12.8,116441,53.5,68,79
"Chambers County, Alabama",61.7,9.9,34772,54.6,68,79
"Cherokee County, Alabama",58.3,9.9,24971,52.3,68,79
"Chilton County, Alabama",60.4,9.1,45014,54.5,68,79
"Choctaw County, Alabama",57.9,9.9,12665,56.4,68,79
"Clarke County, Alabama",56.4,10,23087,57.2,68,79
"Clay County, Alabama",58.9,7.8,14236,53.7,68,79
"Cleburne County, Alabama",60.3,11.2,15056,53.3,68,79
"Coffee County, Alabama",71.4,14.6,53465,58.9,68,79
"Colbert County, Alabama",60,11.9,57227,51.4,68,79
"Conecuh County, Alabama",46.6,10.5,11597,58.4,68,79
"Coosa County, Alabama",59.4,9.2,10387,54.6,68,79
"Covington County, Alabama",59.6,11,37570,59.5,68,79
"Crenshaw County, Alabama",57.6,13.6,13194,57,68,79
"Cullman County, Alabama",63.2,10.2,87866,51.7,68,79
"Dale County, Alabama",65.4,12.4,49326,59.1,68,79
"Dallas County, Alabama",52,11.1,38462,55.8,68,79
"DeKalb County, Alabama",63.4,9.4,71608,51.2,68,79
"Elmore County, Alabama",73.6,16.6,87977,55.6,68,79
"Escambia County, Alabama",48.4,8.7,36757,59.3,68,79
"Etowah County, Alabama",64.3,12.4,103436,52.8,68,79
"Fayette County, Alabama",56.6,8.7,16321,53.4,68,79
"Franklin County, Alabama",49.3,9.9,32113,52,68,79
"Geneva County, Alabama",61.2,9.2,26659,60,68,79
